Defeat( richard gasquet , duckworth )
Defeat( aliz cornet http://t.co/nbefqq3rse , http://t.co/nbefqq3rse )
Defeat( kvitova , bouchard )
Defeat( novak djokovic , radek )
Defeat( edberg , boris becker )
Defeat( zimonjic , sam sto )
Defeat( bacsinszky , alison riske )
Defeat( s , lukas rosol )
Defeat( lisicki , ana )
Defeat( barbora zahlavova strycova http://t.co/vo3adjj3ez , http://t.co/vo3adjj3ez )
Defeat( nick kyrgios http://t.co/jyyk92bbv5 , http://t.co/jyyk92bbv5 )
Defeat( ma , naomi broady ma )
Defeat( nadal , martin klizan )
Defeat( sela , dudi sela )
Defeat( angelique kerber , sharapova )
Defeat( benneteau , julien benneteau )
Defeat( elina , elina svitolina )
Defeat( nara , steffi graf )
Defeat( djokovic , andy murray )
Defeat( aliz cornet http://t.co/0l8lkjoksi , http://t.co/0l8lkjoksi )
Defeat( dimitrov , luke saville )
Defeat( federer , eugnie bouchard )
Defeat( vesely , nick kyrgios )
Defeat( ivanovic , ana ivanovi )
Defeat( henry , djokovic )
Defeat( schmiedlova , kristina schmiedlova )
Defeat( scheepers , chanelle scheepers )
Defeat( grigor dimitrov , a )
Defeat( djokovic , sharapova )
Defeat( federer , i. bravo roger )
Defeat( roger , novak djokovic )
Defeat( grigor dimitrov , andy )
Defeat( lukas , tommy #robredo )
Defeat( strycova , barbora zahlavova strycova )
Defeat( tim henman , henman )
Defeat( stanislas wawrinka , federer )
Defeat( sergiy stakhovsky , edmund )
Defeat( to , toby davis london )
Defeat( novak , stepanek )
Defeat( federer , michi )
Defeat( nick kyrgios http://t.co/lghvrspikh , http://t.co/lghvrspikh )
Defeat( knapp , karin knapp )
Defeat( nadal , kyr )
Defeat( gasquet , kygrios )
Defeat( nieminen , jarkko nieminen )
Defeat( federer , unete teampapii )
Defeat( yanina wickmayer , wickmayer )
Defeat( dimitrov , gregor dimitrov )
Defeat( petra kvitova http://t.co/lrdpymbtdo , http://t.co/lrdpymbtdo )
Defeat( belinda , belinda bencic )
Defeat( djokovic , roger federerc )
Defeat( dellacqua , jarmila gajdosova http://t.co/azk9so6pzj )
Defeat( li , strycova )
Defeat( murray , kevin anderson )
Defeat( aliz cornet http://t.co/mnkkkf41oo , http://t.co/mnkkkf41oo )
Defeat( shuai , shuai zhang )
Defeat( halep , kvitova )
Defeat( rosol , jon mcevoy )
Defeat( agassi , andre agassi )
Defeat( sharapova , jana novotna )
Defeat( nishikori , simone bolelli )
Defeat( shuai peng http://t.co/nwm0baxd17 , http://t.co/nwm0baxd17 )
Defeat( aliz cornet http://t.co/28g81pdmzx , http://t.co/28g81pdmzx )
Defeat( smethurst , dan smethurst )
Defeat( martin klizan , nadal )
Defeat( vesely , monfils )
Defeat( saville , luke saville )
Defeat( djok , federer )
Defeat( klahn , bradley klahn )
Defeat( djoko , nadal )
Defeat( federer , novak djokovic )
Defeat( federer , stan wawrinka )
Defeat( venus , kvitova )
Defeat( petra , petra martic )
Defeat( nick kyrgios http://t.co/samerykluz , http://t.co/samerykluz )
Defeat( nick kyrgios http://t.co/yyaaddbazs , http://t.co/yyaaddbazs )
Defeat( grigor , grigor dimitrov )
Defeat( golubev , stepanek )
Defeat( tursunov , dmitry tursunov )
Defeat( rafael , darcis )
Defeat( bolelli , ito )
Defeat( korda , pete )
